Classification,mean,median,std,count
Extreme Greed,25.418772159436944,0.0,306.1669373872389,6962
Fear,50.047621894017375,0.0,909.121795680177,133871
Greed,87.8948589207749,0.0,1148.343967656218,36289
Neutral,22.229712656210616,0.0,633.7048150995175,7141
